Nama_Produk,Cicilan_Produk_Perbulan,Harga_Produk,Link_Produk
HPE MSA 2060 10GbE iSCSI SFF Storage [R0Q76A],Cicilan Rp. 11.708.083/bln,140497000.0,https://www.bhinneka.com//hpe-msa-2060-10gbe-iscsi-sff-storage-r0q76a-sku3338385175
LENOVO ThinkSystem DE4000H iSCSI Hybrid Flash Array SFF [7Y75A001WW],Cicilan Rp. 11.957.542/bln,143490500.0,https://www.bhinneka.com//lenovo-thinksystem-de4000h-iscsi-hybrid-flash-array-sff-7y75a001ww-sku3328192415
LENOVO ThinkSystem DE4000H SAS Hybrid Flash Array SFF [7Y75A000WW],Cicilan Rp. 11.586.208/bln,139034500.0,https://www.bhinneka.com//lenovo-thinksystem-de4000h-sas-hybrid-flash-array-sff-7y75a000ww-sku3328192221
LENOVO ThinkSystem DE4000H FC Hybrid Flash Array SFF [7Y75A002WW],Cicilan Rp. 11.837.625/bln,142051500.0,https://www.bhinneka.com//lenovo-thinksystem-de4000h-fc-hybrid-flash-array-sff-7y75a002ww-sku3328192512
LENOVO ThinkSystem DE4000H SAS Hybrid Flash Array LFF [7Y74A000WW],Cicilan Rp. 11.769.917/bln,141239000.0,https://www.bhinneka.com//lenovo-thinksystem-de4000h-sas-hybrid-flash-array-lff-7y74a000ww-sku3328193870
LENOVO ThinkSystem DE2000H SAS Hybrid Flash Array LFF,Cicilan Rp. 9.675.292/bln,116103500.0,https://www.bhinneka.com//lenovo-thinksystem-de2000h-sas-hybrid-flash-array-lff-sku3328193385
LENOVO ThinkSystem DE2000H iSCSI Hybrid Flash Array LFF,Cicilan Rp. 8.961.625/bln,107539500.0,https://www.bhinneka.com//lenovo-thinksystem-de2000h-iscsi-hybrid-flash-array-lff-sku3328193094
HPE Nimble Storage AF40 All Flash Dual Controller 10GBASE-T 2-port (23TB RAW),Cicilan Rp. 352.551.167/bln,4230614000.0,https://www.bhinneka.com//hpe-nimble-storage-af40-all-flash-dual-controller-10gbase-t-2-port-23tb-raw-sku3330134840
HPE StoreEver MSL2040 [AK379A],Cicilan Rp. 14.295.458/bln,171545500.0,https://www.bhinneka.com//hpe-storeever-msl2040-ak379a-sku3331096692
DELL EMC Storage SC420F Enclosure All Flash SAN Storage,Cicilan Rp. 226.750.375/bln,2721004500.0,https://www.bhinneka.com//dell-emc-storage-sc420f-enclosure-all-flash-san-storage-sku3327650573
HPE Nimble Storage AF40 All Flash Dual Controller 10GBASE-T 2-port (11.52TB),Cicilan Rp. 92.415.917/bln,1108991000.0,https://www.bhinneka.com//hpe-nimble-storage-af40-all-flash-dual-controller-10gbase-t-2-port-11-52tb-sku3323876788
DELL Storage SC7020 All Flash,Cicilan Rp. 954.708.042/bln,11456496500.0,https://www.bhinneka.com//dell-storage-sc7020-all-flash-sku3323272963
DELL XtreamIO X2 (27TB Usable),Cicilan Rp. 605.135.000/bln,7261620000.0,https://www.bhinneka.com//dell-xtreamio-x2-27tb-usable-sku3323345810
DELL Unity 350F All Flash (80TB Raw),Cicilan Rp. 489.787.542/bln,5877450500.0,https://www.bhinneka.com//dell-unity-350f-all-flash-80tb-raw-sku3323346004
DELL Data Domain DD6800 (90TB),Cicilan Rp. 380.373.875/bln,4564486500.0,https://www.bhinneka.com//dell-data-domain-dd6800-90tb-sku3323346392
HPE Nimble Storage HF20H Adaptive Dual Controller 10GBASE-T 2-port (Usable 6.2TB),Cicilan Rp. 89.497.125/bln,1073965500.0,https://www.bhinneka.com//hpe-nimble-storage-hf20h-adaptive-dual-controller-10gbase-t-2-port-usable-6-2tb-sku3323581326
DELL PowerStore 500T (6x 3.84TB),Cicilan Rp. 233.366.333/bln,2800396000.0,https://www.bhinneka.com//dell-powerstore-500t-6x-3-84tb-sku3338435324
TANDBERG RDX External drive kit USB 3.0 1 unit + Tandberg RDX 4TB HD Cartridges (single) 1 unit,Cicilan Rp. 1.499.917/bln,17999000.0,https://www.bhinneka.com//tandberg-rdx-external-drive-kit-usb-3-0-1-unit-tandberg-rdx-4tb-hd-cartridges-single-1-unit-sku3340281622
HPE LTO-7 Ultrium RW Bar Code Label Pack [Q2014A],Cicilan Rp. 124.917/bln,1499000.0,https://www.bhinneka.com//hpe-lto-7-ultrium-rw-bar-code-label-pack-q2014a-sku3339874222
IBM Ultrium LTO 5 Tape Cartridge 46X1290,Cicilan Rp. 45.750/bln,549000.0,https://www.bhinneka.com//ibm-ultrium-lto-5-tape-cartridge-46x1290-skusku01915156
LENOVO Storage D1212 (12x6TB),Cicilan Rp. 13.056.375/bln,156676500.0,https://www.bhinneka.com//lenovo-storage-d1212-12x6tb-sku3323410703
DELL EMC PowerVault ME4084,Cicilan Rp. 272.904.458/bln,3274853500.0,https://www.bhinneka.com//dell-emc-powervault-me4084-sku3324191553
DROBO 5D3,Cicilan Rp. 1.501.458/bln,18017500.0,https://www.bhinneka.com//drobo-5d3-sku3323941875
ASUSTOR NAS Tower AS6404T,Cicilan Rp. 1.452.708/bln,17432500.0,https://www.bhinneka.com//asustor-nas-tower-as6404t-sku3322093346
ASUSTOR NAS Tower AS6302T,Cicilan Rp. 877.500/bln,10530000.0,https://www.bhinneka.com//asustor-nas-tower-as6302t-sku3322092376
QNAP TS-853DU-RP-4G,Cicilan Rp. 3.167.708/bln,38012500.0,https://www.bhinneka.com//qnap-ts-853du-rp-4g-sku3336634034
QNAP TS-251D-2G + NAS HDD 2 x 4TB,Cicilan Rp. 842.625/bln,10111500.0,https://www.bhinneka.com//qnap-ts-251d-2g-nas-hdd-2-x-4tb-sku3336823572
DELL EMC PowerVault ME4012 (4x1.2TB),Cicilan Rp. 10.679.583/bln,128155000.0,https://www.bhinneka.com//dell-emc-powervault-me4012-4x1-2tb-sku3336976735
DELL EMC PowerVault ME4012 (4x2.4TB),Cicilan Rp. 11.200.917/bln,134411000.0,https://www.bhinneka.com//dell-emc-powervault-me4012-4x2-4tb-sku3336976929
QNAP TS-h1283XU-RP-E2236-128G,Cicilan Rp. 11.782.500/bln,141390000.0,https://www.bhinneka.com//qnap-ts-h1283xu-rp-e2236-128g-sku3337056081
QNAP TS-451DeU-2G,Cicilan Rp. 1.197.458/bln,14369500.0,https://www.bhinneka.com//qnap-ts-451deu-2g-sku3337072668
QNAP TS-1253DU-RP-4G,Cicilan Rp. 3.510.000/bln,42120000.0,https://www.bhinneka.com//qnap-ts-1253du-rp-4g-sku3337071601
QNAP TS-251D-4G,Cicilan Rp. 684.500/bln,8214000.0,https://www.bhinneka.com//qnap-ts-251d-4g-sku3337074802
QNAP TVS-872X-i5-8G,Cicilan Rp. 3.495.833/bln,41950000.0,https://www.bhinneka.com//qnap-tvs-872x-i5-8g-sku3338176043
HPE StoreEasy 1660 Storage with Microsoft Windows Server IoT 2019 [R7G24A],Cicilan Rp. 6.467.042/bln,77604500.0,https://www.bhinneka.com//hpe-storeeasy-1660-storage-with-microsoft-windows-server-iot-2019-r7g24a-sku3338347248
HPE StoreEasy 1660 Performance Storage with Microsoft Windows Server IoT 2019 [R7G25A],Cicilan Rp. 7.403.375/bln,88840500.0,https://www.bhinneka.com//hpe-storeeasy-1660-performance-storage-with-microsoft-windows-server-iot-2019-r7g25a-sku3338347345
HPE D3710 1TB 12G 10K SAS SC 25TB Bundle [Q1J19A],Cicilan Rp. 12.363.667/bln,148364000.0,https://www.bhinneka.com//hpe-d3710-1tb-12g-10k-sas-sc-25tb-bundle-q1j19a-sku3338367812
HPE D3710 1.8TB 12G 10K SAS SC 45TB Bundle [Q1J18A],Cicilan Rp. 20.434.375/bln,245212500.0,https://www.bhinneka.com//hpe-d3710-1-8tb-12g-10k-sas-sc-45tb-bundle-q1j18a-sku3338367618
HPE D3610 8TB 12G SAS MDL SC 96TB Bundle [Q1J13A],Cicilan Rp. 12.771.500/bln,153258000.0,https://www.bhinneka.com//hpe-d3610-8tb-12g-sas-mdl-sc-96tb-bundle-q1j13a-sku3338370043
HPE MSA 2060 10GBASE-T iSCSI LFF Storage [R7J72A],Cicilan Rp. 13.013.250/bln,156159000.0,https://www.bhinneka.com//hpe-msa-2060-10gbase-t-iscsi-lff-storage-r7j72a-sku3338389249
QNAP TS-983XU-RP-E2124-8G,Cicilan Rp. 5.551.708/bln,66620500.0,https://www.bhinneka.com//qnap-ts-983xu-rp-e2124-8g-sku3323953321
DELL EMC Isilon H500 (2x120TB),Cicilan Rp. 590.483.000/bln,7085796000.0,https://www.bhinneka.com//dell-emc-isilon-h500-2x120tb-sku3323949635
DELL EMC Isilon H500 (4x120TB),Cicilan Rp. 1.165.558.750/bln,13986705000.0,https://www.bhinneka.com//dell-emc-isilon-h500-4x120tb-sku3323949538
DELL EMC Data Protection 4400 (12TB),Cicilan Rp. 66.479.792/bln,797757500.0,https://www.bhinneka.com//dell-emc-data-protection-4400-12tb-sku3324127824
ASUSTOR NAS Tower AS4004T,Cicilan Rp. 887.125/bln,10645500.0,https://www.bhinneka.com//asustor-nas-tower-as4004t-sku3324240441
DELL EMC Powerstore 1000T Upgrade - 012,Cicilan Rp. 349.999.917/bln,4199999000.0,https://www.bhinneka.com//dell-emc-powerstore-1000t-upgrade-012-sku3340483188
QNAP TS-h1277XU-RP-3700X-128G,Cicilan Rp. 11.497.083/bln,137965000.0,https://www.bhinneka.com//qnap-ts-h1277xu-rp-3700x-128g-sku3337060252
QNAP TS-431KX-2G,Cicilan Rp. 929.167/bln,11150000.0,https://www.bhinneka.com//qnap-ts-431kx-2g-sku3337069370
QNAP TVS-872XT-i5-16G,Cicilan Rp. 3.968.333/bln,47620000.0,https://www.bhinneka.com//qnap-tvs-872xt-i5-16g-sku3324245873
DELL EMC PowerStore NVMe Expansion 24x2.5 FLD Upgrade ,Cicilan Rp. 390.475.000/bln,4685700000.0,https://www.bhinneka.com//dell-emc-powerstore-nvme-expansion-24x2-5-fld-upgrade-sku3340875747
SYNOLOGY DiskStation DS223,Cicilan Rp. 433.250/bln,5199000.0,https://www.bhinneka.com//synology-diskstation-ds223-sku3340030101
ASUSTOR AS3302T,Cicilan Rp. 454.833/bln,5458000.0,https://www.bhinneka.com//asustor-as3302t-sku3337867583
ASUSTOR AS6510T,Cicilan Rp. 2.258.333/bln,27100000.0,https://www.bhinneka.com//asustor-as6510t-sku3331740675
QNAP TVS-472XT-PT-4G,Cicilan Rp. 2.285.000/bln,27420000.0,https://www.bhinneka.com//qnap-tvs-472xt-pt-4g-sku3324247522
ASUSTOR AS1102T,Cicilan Rp. 315.833/bln,3790000.0,https://www.bhinneka.com//asustor-as1102t-sku3337864382
QNAP TS-433-4G (8TB) + WD RED Plus 2TB (WD20EFPX),Cicilan Rp. 924.167/bln,11090000.0,https://www.bhinneka.com//qnap-ts-433-4g-8tb-wd-red-plus-2tb-wd20efpx-sku3340970225
ASUSTOR LOCKERSTOR 6 Gen2 AS6706T,Cicilan Rp. 1.668.083/bln,20017000.0,https://www.bhinneka.com//asustor-lockerstor-6-gen2-as6706t-sku3338930218
ASUSTOR LOCKERSTOR 10 Pro AS7110T,Cicilan Rp. 4.461.250/bln,53535000.0,https://www.bhinneka.com//asustor-lockerstor-10-pro-as7110t-sku3337042016
SYNOLOGY FlashStation FS3410,Cicilan Rp. 11.616.583/bln,139399000.0,https://www.bhinneka.com//synology-flashstation-fs3410-sku3339398534
SYNOLOGY DiskStation DS423 (32TB),Cicilan Rp. 2.791.667/bln,33500000.0,https://www.bhinneka.com//synology-diskstation-ds423-32tb-sku3340819390
SYNOLOGY DiskStation DS620slim,Cicilan Rp. 874.917/bln,10499000.0,https://www.bhinneka.com//synology-diskstation-ds620slim-sku3331470336
SYNOLOGY DiskStation DS1621+,Cicilan Rp. 1.625.000/bln,19500000.0,https://www.bhinneka.com//synology-diskstation-ds1621-sku3336276686
SYNOLOGY Flash Station 12-bay [FS2500],Cicilan Rp. 5.808.250/bln,69699000.0,https://www.bhinneka.com//synology-flash-station-12-bay-fs2500-sku3338605462
SYNOLOGY DiskStation DS1821+,Cicilan Rp. 1.766.583/bln,21199000.0,https://www.bhinneka.com//synology-diskstation-ds1821-sku3336774393
ASUSTOR LOCKERSTOR 2 Gen2 AS6702T (WD RED Plus 6TB),Cicilan Rp. 1.425.000/bln,17100000.0,https://www.bhinneka.com//asustor-lockerstor-2-gen2-as6702t-wd-red-plus-6tb-sku3341136483
ASUSTOR 4 Bay NAS Storage AS5404T (WD RED Plus 6TB),Cicilan Rp. 1.582.500/bln,18990000.0,https://www.bhinneka.com//asustor-4-bay-nas-storage-as5404t-wd-red-plus-6tb-sku3341135707
ASUSTOR  AS1102TL (WD RED Plus 6TB),Cicilan Rp. 763.750/bln,9165000.0,https://www.bhinneka.com//asustor-as1102tl-wd-red-plus-6tb-sku3341138714
ASUSTOR LOCKERSTOR 4 Gen2 AS6704T (WD RED Plus 8TB),Cicilan Rp. 1.862.500/bln,22350000.0,https://www.bhinneka.com//asustor-lockerstor-4-gen2-as6704t-wd-red-plus-8tb-sku3341137065
ASUSTOR LOCKERSTOR 4 Gen2 AS6704T,Cicilan Rp. 1.100.000/bln,13200000.0,https://www.bhinneka.com//asustor-lockerstor-4-gen2-as6704t-sku3338930315
ASUSTOR LOCKERSTOR 4 Gen2 AS6704T (WD RED Plus 4TB),Cicilan Rp. 1.637.500/bln,19650000.0,https://www.bhinneka.com//asustor-lockerstor-4-gen2-as6704t-wd-red-plus-4tb-sku3341136677
ASUSTOR 4 Bay NAS Storage AS5404T (WD RED Plus 2TB),Cicilan Rp. 1.393.750/bln,16725000.0,https://www.bhinneka.com//asustor-4-bay-nas-storage-as5404t-wd-red-plus-2tb-sku3341135319
ASUSTOR AS1102T (WD RED Plus 6TB),Cicilan Rp. 763.750/bln,9165000.0,https://www.bhinneka.com//asustor-as1102t-wd-red-plus-6tb-sku3341137259
FUJIFILM LTO Ultrium 7,Cicilan Rp. 125.000/bln,1500000.0,https://www.bhinneka.com//fujifilm-lto-ultrium-7-sku3338765609
"SYNOLOGY DiskStation DS923+ (32TB, RAM 8GB)",Cicilan Rp. 2.833.333/bln,34000000.0,https://www.bhinneka.com//synology-diskstation-ds923-32tb-ram-8gb-sku3341243086
QNAP TS-464-8G,Cicilan Rp. 1.160.833/bln,13930000.0,https://www.bhinneka.com//qnap-ts-464-8g-sku3340165610
QNAP TS-262-4G,Cicilan Rp. 726.667/bln,8720000.0,https://www.bhinneka.com//qnap-ts-262-4g-sku3339440244
QNAP TS-364-8G,Cicilan Rp. 961.667/bln,11540000.0,https://www.bhinneka.com//qnap-ts-364-8g-sku3340165416
QNAP TS-264-8G,Cicilan Rp. 864.167/bln,10370000.0,https://www.bhinneka.com//qnap-ts-264-8g-sku3339441214
QNAP TS-664-8G,Cicilan Rp. 1.454.167/bln,17450000.0,https://www.bhinneka.com//qnap-ts-664-8g-sku3339893137
QNAP TS-473A-8G,Cicilan Rp. 1.533.333/bln,18400000.0,https://www.bhinneka.com//qnap-ts-473a-8g-sku3337268317
QNAP TS-673A-8G,Cicilan Rp. 1.769.167/bln,21230000.0,https://www.bhinneka.com//qnap-ts-673a-8g-sku3337370652
QNAP TS-873A-8G,Cicilan Rp. 2.063.333/bln,24760000.0,https://www.bhinneka.com//qnap-ts-873a-8g-sku3337369876
QNAP TVS-h474-PT-8G,Cicilan Rp. 2.357.500/bln,28290000.0,https://www.bhinneka.com//qnap-tvs-h474-pt-8g-sku3339443542
QNAP TS-h973AX-32G,Cicilan Rp. 2.259.167/bln,27110000.0,https://www.bhinneka.com//qnap-ts-h973ax-32g-sku3337059282
QNAP TVS-h674-i5-32G,Cicilan Rp. 3.930.000/bln,47160000.0,https://www.bhinneka.com//qnap-tvs-h674-i5-32g-sku3339441990
QNAP TS-431XeU-2G,Cicilan Rp. 1.080.833/bln,12970000.0,https://www.bhinneka.com//qnap-ts-431xeu-2g-sku3337069176
QNAP TS-432PXU-RP-2G,Cicilan Rp. 1.846.667/bln,22160000.0,https://www.bhinneka.com//qnap-ts-432pxu-rp-2g-sku3337068109
QNAP TVS-h674T-i5-32G,Cicilan Rp. 4.185.000/bln,50220000.0,https://www.bhinneka.com//qnap-tvs-h674t-i5-32g-sku3340720935
QNAP TR-004,Cicilan Rp. 432.500/bln,5190000.0,https://www.bhinneka.com//qnap-tr-004-sku3324260811
QNAP TS-873AeU-RP-4G,Cicilan Rp. 3.241.667/bln,38900000.0,https://www.bhinneka.com//qnap-ts-873aeu-rp-4g-sku3338593434
QNAP TL-R1200S-RP,Cicilan Rp. 1.944.167/bln,23330000.0,https://www.bhinneka.com//qnap-tl-r1200s-rp-sku3337074608
QNAP TS-h2287XU-RP-E2378-64G,Cicilan Rp. 16.822.833/bln,201874000.0,https://www.bhinneka.com//qnap-ts-h2287xu-rp-e2378-64g-sku3339442669
QNAP TS-h1090FU-7302P-256G,Cicilan Rp. 22.793.750/bln,273525000.0,https://www.bhinneka.com//qnap-ts-h1090fu-7302p-256g-sku3339441505
QNAP TS-h1090FU-7302P-128G,Cicilan Rp. 17.907.583/bln,214891000.0,https://www.bhinneka.com//qnap-ts-h1090fu-7302p-128g-sku3339440341
QNAP TL-R1620Sep-RP,Cicilan Rp. 6.784.250/bln,81411000.0,https://www.bhinneka.com//qnap-tl-r1620sep-rp-sku3337058409
QNAP TL-R1220Sep-RP,Cicilan Rp. 5.427.583/bln,65131000.0,https://www.bhinneka.com//qnap-tl-r1220sep-rp-sku3337061416
QNAP TL-D1600S,Cicilan Rp. 1.769.167/bln,21230000.0,https://www.bhinneka.com//qnap-tl-d1600s-sku3337075093
QNAP TL-D800S,Cicilan Rp. 983.333/bln,11800000.0,https://www.bhinneka.com//qnap-tl-d800s-sku3337075190
QNAP TVS-h1688X-W1250-32G,Cicilan Rp. 8.655.417/bln,103865000.0,https://www.bhinneka.com//qnap-tvs-h1688x-w1250-32g-sku3337059670
SYNOLOGY Rack Station 12-bay RS2423RP+,Cicilan Rp. 4.441.583/bln,53299000.0,https://www.bhinneka.com//synology-rack-station-12-bay-rs2423rp-sku3340030586
ASUSTOR AS6508T,Cicilan Rp. 1.950.833/bln,23410000.0,https://www.bhinneka.com//asustor-as6508t-sku3331740578
SYNOLOGY RackStation RS422+,Cicilan Rp. 1.358.250/bln,16299000.0,https://www.bhinneka.com//synology-rackstation-rs422-sku3338917802
SYNOLOGY Diskstation DS2422+,Cicilan Rp. 3.666.667/bln,44000000.0,https://www.bhinneka.com//synology-diskstation-ds2422-sku3338600127
SYNOLOGY RackStation RS3618xs,Cicilan Rp. 4.316.583/bln,51799000.0,https://www.bhinneka.com//synology-rackstation-rs3618xs-sku3321209579
SYNOLOGY DiskStation DS1823xs+,Cicilan Rp. 2.799.917/bln,33599000.0,https://www.bhinneka.com//synology-diskstation-ds1823xs-sku3340026221
HP LTO-6 Ultrium RW Bar Code Label Pack Q2013A,Cicilan Rp. 74.542/bln,894500.0,https://www.bhinneka.com//hp-lto-6-ultrium-rw-bar-code-label-pack-q2013a-skusku03116703
DELL EMC Storage SC7020F 3Ux30 Drive Storage All Flash SAN Storage,Cicilan Rp. 584.969.667/bln,7019636000.0,https://www.bhinneka.com//dell-emc-storage-sc7020f-3ux30-drive-storage-all-flash-san-storage-sku3327646014
HPE 3PAR 8440 2N+SW Storage (36x1.2TB SAS),Cicilan Rp. 414.058.292/bln,4968699500.0,https://www.bhinneka.com//hpe-3par-8440-2n-sw-storage-36x1-2tb-sas-sku3328046333
LENOVO ThinkSystem DE2000H 10GBASE-T Hybrid Flash Array SFF,Cicilan Rp. 9.742.042/bln,116904500.0,https://www.bhinneka.com//lenovo-thinksystem-de2000h-10gbase-t-hybrid-flash-array-sff-sku3328192609
LENOVO ThinkSystem DE2000H iSCSI Hybrid Flash Array SFF,Cicilan Rp. 8.619.292/bln,103431500.0,https://www.bhinneka.com//lenovo-thinksystem-de2000h-iscsi-hybrid-flash-array-sff-sku3328192706
